"","complexNo","complexName","realEstateTypeName","roadAddress","지번주소","totalHouseholdCount","highFloor","parkingPossibleCount","parkingCountByHousehold","heatMethodTypeCode","exclusiveArea","entranceType","roomCnt","bathroomCnt"
"1","133566","YH드림타운","아파트","대덕구 대화1길 21","대전시 대덕구 대화동 35-356",25,5,15,0.6,"개별난방",51,"계단식","2","1"
"2","133566","YH드림타운","아파트","대덕구 대화1길 21","대전시 대덕구 대화동 35-356",25,5,15,0.6,"개별난방",54,"계단식","2","1"
"3","133566","YH드림타운","아파트","대덕구 대화1길 21","대전시 대덕구 대화동 35-356",25,5,15,0.6,"개별난방",59,"계단식","3","1"
"4","133566","YH드림타운","아파트","대덕구 대화1길 21","대전시 대덕구 대화동 35-356",25,5,15,0.6,"개별난방",58,"계단식","3","1"
"5","133566","YH드림타운","아파트","대덕구 대화1길 21","대전시 대덕구 대화동 35-356",25,5,15,0.6,"개별난방",72,"계단식","3","1"
"6","101060","금강","재건축","대덕구 대전로 1247","대전시 대덕구 대화동 27-7",90,5,0,0,"개별난방",56,"계단식","2","1"
"7","101060","금강","재건축","대덕구 대전로 1247","대전시 대덕구 대화동 27-7",90,5,0,0,"개별난방",73,"계단식","3","1"
"8","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",47,"복도식","2","1"
"9","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",48,"계단식","2","1"
"10","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",62,"계단식","3","1"
"11","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",63,"복도식","3","1"
"12","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",70,"복도식","3","1"
"13","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",71,"계단식","3","1"
"14","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",71,"계단식","3","1"
"15","5580","금성백조","아파트","대덕구 대화로 19","대전시 대덕구 대화동 16-2",160,5,160,1,"개별난방",72,"복도식","3","1"
"16","100954","대화","아파트","대덕구 대화로 53","대전시 대덕구 대화동 40-67",50,5,0,0,"개별난방",49,"계단식","2","1"
"17","105830","두레","아파트","대덕구 대화1길 77","대전시 대덕구 대화동 31-36",423,14,316,0.74,"개별난방",32,"복도식","2","1"
"18","105830","두레","아파트","대덕구 대화1길 77","대전시 대덕구 대화동 31-36",423,14,316,0.74,"개별난방",35,"복도식","2","1"
"19","105830","두레","아파트","대덕구 대화1길 77","대전시 대덕구 대화동 31-36",423,14,316,0.74,"개별난방",46,"복도식","2","1"
