"거래금액","건축년도","전용면적","층","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","세대수","최고층","세대당주차대수","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
30800,1999,84.81,6,4,19,17,13,4,5,38,2284,548,20,0.88,3,2,1,0,0,0,0,1,0,0,1,0,1,0,0
26000,1990,84.56,6,3,17,17,10,4,3,26,2466,594,15,0.48,3,2,1,0,0,0,0,1,0,0,1,0,1,0,0
27500,1999,84.81,1,4,19,17,13,4,5,38,2284,548,20,0.88,3,2,1,0,0,0,0,1,0,0,1,0,1,0,0
19500,1999,59.34,12,4,19,17,13,4,5,38,2284,548,20,0.88,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0
6700,2001,32.3658,8,5,34,23,40,4,3,53,2310,423,14,0.74,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
14900,1991,62.46,9,1,20,12,3,8,3,16,3304,1344,18,0.48,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
17800,1991,84.96,15,1,20,12,3,8,3,16,3304,1344,18,0.48,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19000,1991,84.96,18,1,20,12,3,8,3,16,3304,1344,18,0.48,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19400,1991,84.96,10,1,20,12,3,8,3,16,3304,1344,18,0.48,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
14500,1991,62.46,15,1,20,12,3,8,3,16,3304,1344,18,0.48,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0
16000,1994,59.76,9,2,8,4,4,0,0,6,5828,656,18,0.64,3,1,1,0,0,0,0,1,0,0,1,0,0,1,0
23200,1999,59.61,19,10,144,23,59,3,0,67,1975,1428,19,1.11,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
30700,1999,73.56,16,10,144,23,59,3,0,67,1975,1428,19,1.11,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
42000,1999,99.88,16,10,163,55,71,9,1,81,2038,1146,20,1.15,4,2,1,0,0,0,0,0,1,1,0,0,1,0,0
23000,1999,59.61,3,10,144,23,59,3,0,67,1975,1428,19,1.11,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0
35200,1999,84.88,19,6,138,26,62,4,1,66,1851,1554,20,1.13,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
36000,1999,84.88,12,6,138,26,62,4,1,66,1851,1554,20,1.13,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
30500,1999,84.9,1,10,152,37,72,4,1,77,1984,1872,20,1.14,3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
23400,1999,59.82,1,10,152,37,72,4,1,77,1984,1872,20,1.14,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0
