"거래금액","시군구","도로명주소","지번주소","아파트","거래유형","건축년도","전용면적","층","월","일","경도","위도","학교","학원","병원","술집","공공기관","문화시설","카페","역최단거리","가장 가까운 역","세대수","최고층","세대당주차대수","난방방식","현관구조","방개수","욕실개수","시군구대덕구","시군구동구","시군구서구","시군구유성구","시군구중구","거래유형중개거래","거래유형직거래","난방방식개별난방","난방방식중앙난방","난방방식지역난방","현관구조계단식","현관구조복도식","현관구조복합식"
30800,"대덕구","대덕구 대전로1185번길 30","대전시 대덕구 오정동 55-5","양지마을","중개거래",1999,84.81,6,9,2,"127.414078115021","36.3596723110083",4,19,17,13,4,5,38,2284,"대전복합터미널",548,20,0.88,"중앙난방","계단식",3,2,1,0,0,0,0,1,0,0,1,0,1,0,0
26000,"대덕구","대덕구 한밭대로1033번길 15","대전시 대덕구 오정동 635-1","신동아","중개거래",1990,84.56,6,9,12,"127.412042323529","36.3602032904783",3,17,17,10,4,3,26,2466,"대전 시청역",594,15,0.48,"중앙난방","계단식",3,2,1,0,0,0,0,1,0,0,1,0,1,0,0
27500,"대덕구","대덕구 대전로1185번길 30","대전시 대덕구 오정동 55-5","양지마을","중개거래",1999,84.81,1,9,19,"127.414078115021","36.3596723110083",4,19,17,13,4,5,38,2284,"대전복합터미널",548,20,0.88,"중앙난방","계단식",3,2,1,0,0,0,0,1,0,0,1,0,1,0,0
19500,"대덕구","대덕구 대전로1185번길 30","대전시 대덕구 오정동 55-5","양지마을","직거래",1999,59.34,12,9,20,"127.414078115021","36.3596723110083",4,19,17,13,4,5,38,2284,"대전복합터미널",548,20,0.88,"중앙난방","복도식",3,1,1,0,0,0,0,0,1,0,1,0,0,1,0
6700,"대덕구","대덕구 대화1길 77","대전시 대덕구 대화동 31-36","두레","중개거래",2001,32.3658,8,9,23,"127.416887641811","36.3635662386292",5,34,23,40,4,3,53,2310,"대전복합터미널",423,14,0.74,"개별난방","복도식",2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
14900,"대덕구","대덕구 계족로761번길 24","대전시 대덕구 읍내동 54","현대","중개거래",1991,62.46,9,9,3,"127.425152170307","36.3785797222965",1,20,12,3,8,3,16,3304,"대전복합터미널",1344,18,0.48,"개별난방","복도식",2,1,1,0,0,0,0,1,0,1,0,0,0,1,0
17800,"대덕구","대덕구 계족로761번길 24","대전시 대덕구 읍내동 54","현대","중개거래",1991,84.96,15,9,22,"127.425152170307","36.3785797222965",1,20,12,3,8,3,16,3304,"대전복합터미널",1344,18,0.48,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19000,"대덕구","대덕구 계족로761번길 24","대전시 대덕구 읍내동 54","현대","중개거래",1991,84.96,18,9,23,"127.425152170307","36.3785797222965",1,20,12,3,8,3,16,3304,"대전복합터미널",1344,18,0.48,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
19400,"대덕구","대덕구 계족로761번길 24","대전시 대덕구 읍내동 54","현대","중개거래",1991,84.96,10,9,23,"127.425152170307","36.3785797222965",1,20,12,3,8,3,16,3304,"대전복합터미널",1344,18,0.48,"개별난방","계단식",3,2,1,0,0,0,0,1,0,1,0,0,1,0,0
14500,"대덕구","대덕구 계족로761번길 24","대전시 대덕구 읍내동 54","현대","직거래",1991,62.46,15,9,25,"127.425152170307","36.3785797222965",1,20,12,3,8,3,16,3304,"대전복합터미널",1344,18,0.48,"개별난방","복도식",2,1,1,0,0,0,0,0,1,1,0,0,0,1,0
